EOS,n_c (fm^-3),M (M_sun),R (km)
AV14+UVII,1.4441414141414142,2.5234372537782193,8.296153690000006
AV14+UVII,1.4672727272727273,2.5057159100994566,8.227703690000007
AV14+UVII,1.4904040404040404,2.4881356989117744,8.159253690000007
AV14+UVII,1.5135353535353535,2.470891081284792,8.104493690000007
AV14+UVII,1.5366666666666666,2.453778131024783,8.036043690000007
AV14+UVII,1.5597979797979797,2.437042891586894,7.981283690000007
AV14+UVII,1.5829292929292929,2.42049253458188,7.9128336900000065
AV14+UVII,1.606060606060606,2.404451261530516,7.858073690000006
AV14+UVII,1.629191919191919,2.38877963301965,7.803313690000006
AV14+UVII,1.6523232323232324,2.373696593690723,7.762243690000005
AV14+UVII,1.6754545454545455,2.358926490415584,7.707483690000005
AV14+UVII,1.6985858585858586,2.3447721261271477,7.666413690000005
AV14+UVII,1.7217171717171718,2.3311326869987425,7.625343690000006
AV14+UVII,1.7448484848484849,2.3180743597961757,7.584273690000005
AV14+UVII,1.767979797979798,2.3056388836945314,7.543203690000006
AV14+UVII,1.791111111111111,2.2938450724788435,7.502133690000005
AV14+UVII,1.8142424242424242,2.2828307343572845,7.474753690000005
AV14+UVII,1.8373737373737373,2.272452725409824,7.433683690000005
AV14+UVII,1.8605050505050504,2.2629764516095867,7.406303690000005
AV14+UVII,1.8836363636363636,2.2543159883386386,7.378923690000005
AV14+UVII,1.9067676767676767,2.2467078937872604,7.3652336900000055
AV14+UVII,1.9298989898989898,2.239893327267111,7.3378536900000055
AV14+UVII,1.9530303030303031,2.2342655758765235,7.324163690000005
AV14+UVII,1.9761616161616162,2.22972755032254,7.310473690000006
AV14+UVII,1.9992929292929293,2.2265311738271394,7.310473690000006
AV14+UVII,2.022424242424242,2.2244950888260573,7.296783690000005
AV14+UVII,2.045555555555555,4.164930835785307e-17,1.369e-05
AV14+UVII,2.0686868686868682,4.2526698907499815e-17,1.369e-05
AV14+UVII,2.091818181818182,4.340276882937335e-17,1.369e-05
AV14+UVII,2.114949494949495,4.427631992481541e-17,1.369e-05
AV14+UVII,2.138080808080808,4.51461010222713e-17,1.369e-05
AV14+UVII,2.161212121212121,4.601081302934616e-17,1.369e-05
AV14+UVII,2.1843434343434343,4.686909743670044e-17,1.369e-05
AV14+UVII,2.2074747474747474,4.77195269779561e-17,1.369e-05
AV14+UVII,2.2306060606060605,4.856061865396901e-17,1.369e-05
AV14+UVII,2.2537373737373736,4.9390851892306167e-17,1.369e-05
AV14+UVII,2.2768686868686867,5.0208633641623786e-17,1.369e-05
AV14+UVII,2.3,5.1012295185987266e-17,1.369e-05
UV14+UVII,0.01,0.0011227590969434139,3.559413690000003
